price,margin,E_months,mean_ltv,std_ltv,risk_adj_ltv,hazard_mean,S_end
20.0,12.0,4.133334102196437,48.37771103245004,32.347035432459144,40.29095217433525,0.6945012108128227,1.223098640728629e-36
22.0,13.7,3.970284475081354,53.11176331000245,35.6403457289872,44.20167687775565,0.7044063355003178,1.2099157160240742e-37
24.0,15.399999999999999,3.8220711822097346,57.53257244208082,38.717832707259106,47.85311426526604,0.7136844039228242,1.3107634364974868e-38
26.0,17.099999999999998,3.686322628398876,61.67318343063148,41.597103886007346,51.273907459129646,0.7224284858592402,1.532189703856231e-39
28.0,18.8,3.5612097234904243,65.56113091853159,44.2931318005557,54.487847968392664,0.73071083903918,1.910172515670681e-40
30.0,20.5,3.445291611224144,69.21977913100868,46.81887198895199,57.51506113377068,0.7385886711239786,2.51643212823138e-41
32.0,22.2,3.3374124621879404,72.66925626454136,49.18569885614376,60.372831550505424,0.7461080387062887,3.476952909659623e-42
34.0,23.9,3.2366303527035343,75.92712495129302,51.40372141330234,63.07619459796744,0.7533065623884947,5.0077969688597426e-43
36.0,25.599999999999998,3.1421669871146394,79.00887535247068,53.482017324056166,65.63837102145663,0.7602153647216765,7.480247754398594e-44
38.0,27.299999999999997,3.0533713555215085,81.92829569280096,55.428809911151006,68.0710932150132,0.7668604835358722,1.153854366911213e-44
40.0,29.0,2.9696929456718566,84.69775603391841,57.251604414277296,70.38485493034909,0.7732639223612269,1.8313925299800645e-45
42.0,30.699999999999996,2.8906616519825614,87.32842930501975,58.95729454638147,72.58910566842438,0.7794444443244569,2.9817247119289485e-46
44.0,32.4,2.8158724723563044,89.83046609361968,60.5522470131252,74.69240434033837,0.7854181812093871,4.966585540540541e-47
46.0,34.1,2.7449736886124336,92.21313477761073,62.04236942220151,76.70254242206036,0.7911991070314355,8.444162147772212e-48
48.0,35.8,2.6776576220921235,94.48493528112989,63.43316549493372,78.62664390739647,0.7967994107536202,1.4625031817462813e-48
50.0,37.5,2.6136533203861276,96.65369247927012,64.72978044709808,80.47124736749561,0.8022297928637127,2.575849897387419e-49
52.0,39.199999999999996,2.552720711211681,98.72663370249133,65.9370386708419,82.24237403478085,0.8074997037369277,4.606396894277096e-50
54.0,40.9,2.494645884287764,100.71045367501488,67.05947532415622,83.94558484397582,0.8126175369674654,8.352776819794908e-51
56.0,42.6,2.4392372499743917,102.61136941712294,68.10136305312574,85.58602865384151,0.8175907874921734,1.5339372747464624e-51
58.0,44.3,2.3863223862771634,104.43516705355822,69.066734791732,87.16848335562521,0.8224261819139222,2.849886437950521e-52
60.0,46.0,2.3357454313367265,106.1872420351533,69.95940337506622,88.69739119138674,0.827129786672561,5.351512998901762e-53
62.0,47.699999999999996,2.287364911908707,107.87263395488236,70.78297854435955,90.17688931879248,0.8317070984137412,1.0148079730343047e-53
64.0,49.4,2.241051923109903,109.49605689262368,71.54088180230588,91.61083644204722,0.8361631199383123,1.941853475701904e-54
66.0,51.1,2.196688593281636,111.06192603396062,72.23635948488743,93.00283616273876,0.8405024243858826,3.746921647272969e-55
68.0,52.8,2.1541667818896237,112.57438116235106,72.87249434428485,94.35625757627984,0.8447292097514204,7.285978261174707e-56
70.0,54.5,2.1133869691340585,114.03730751018325,73.45221588136816,95.67425353984122,0.8488473454078435,1.4269594969166447e-56
72.0,56.199999999999996,2.0742573042361743,115.45435436478579,73.97830962200884,96.95977695928357,0.8528604119777857,2.8133534716636933e-57
74.0,57.9,2.0366927858140187,116.82895175460118,74.45342549627193,98.21559538053319,0.8567717356403457,5.5811619404872546e-58
76.0,59.599999999999994,2.000614552809869,118.16432548420732,74.8800854513932,99.44430412135902,0.8605844177562588,1.1136010601659568e-58
78.0,61.3,1.9659492684158564,119.4635107414569,75.26069040677298,100.64833813976365,0.8643013605346983,2.2339459976630263e-59
80.0,63.0,1.9326285826091298,120.72936446330216,75.59752664085511,101.82998280308838,0.8679252893371977,4.5040344311393855e-60
82.0,64.7,1.9005886614378735,121.96457661701659,75.8927716848059,102.99138369581512,0.871458772111744,9.123844391127292e-61
84.0,66.39999999999999,1.8697697732343537,123.17168052911057,76.14849978567192,104.1345555826926,0.8749042363674567,1.8564112110487123e-61
86.0,68.1,1.8401159235771514,124.35306237416233,76.3666869916385,105.2613906262527,0.8782639840332002,3.792925998285127e-62
88.0,69.8,1.8115745321634296,125.51096991919809,76.54921590371056,106.37366594327045,0.8815402044887866,7.779861453429504e-63
90.0,71.5,1.7840961458464752,126.64752060547538,76.69788013126201,107.47305057265987,0.8847349860125718,1.601654702021172e-63
92.0,73.2,1.7576341829928361,127.76470903803883,76.81438848318443,108.56111191724273,0.8878503258523005,3.3088393372078046e-64
94.0,74.89999999999999,1.732144705055478,128.8644139437883,76.9003689216046,109.63932171338715,0.8908881390954569,6.858193175364668e-65
96.0,76.6,1.7075862118745484,129.9484046507043,76.9573723011555,110.70906157541543,0.8938502664899474,1.4259198163093838e-65
98.0,78.3,1.6839194577296426,131.0183471340395,76.98687591345455,111.77162815567584,0.8967384813446841,2.9734593378766255e-66
100.0,80.0,1.6611072855955666,132.07580966948615,76.9902868536389,112.82823795607642,0.8995544956218184,6.217933604330015e-67
102.0,81.7,1.639114477413016,133.12226812840478,76.9689452234577,113.88003182254036,0.9022999653173565,1.3037311650112416e-67
104.0,83.39999999999999,1.6179076184882075,134.159110945984,76.92412718343651,114.92807915012487,0.9049764952141839,2.740521643841269e-68
106.0,85.1,1.5974549743914057,135.1876437896037,76.85704786496291,115.97338182336297,0.9075856430807545,5.77472371719037e-69
108.0,86.8,1.5777263789412401,136.20909395156917,76.7688641517272,117.01687791363737,0.9101289233794884,1.2196505473012477e-69
110.0,88.5,1.5586931320464459,137.2246144877203,76.66067733877048,118.05944515302767,0.912607810541072,2.581682642421528e-70
112.0,90.2,1.540327906334218,138.2352881211061,76.53353567638216,119.10190420201056,0.9150237418540793,5.4763829363617754e-71
114.0,91.89999999999999,1.522604661629397,139.2421309279149,76.38843680524414,120.14502172660386,0.9173781200135163,1.1640498033281396e-71
116.0,93.6,1.5054985664645353,140.24609582110884,76.2263300885029,121.18951329898312,0.9196723153668377,2.479146355968019e-72
118.0,95.3,1.4889859259007117,141.24807584568944,76.04811884584365,122.23604613422853,0.9219076678916108,5.2899822894769414e-73
120.0,97.0,1.473044115025086,142.24890729819492,75.85466249413273,123.28524167466173,0.9240854889351731,1.1308334798847049e-73
